ID,Latitude,Longitude,Project Name,Developer,Area Code,Type,Total Units,Sold Units,Avg. Price (Units),Usable Area (sq.m.),Land Area (sq.w.),Sale Speed (6 เดือน),Sale Speed,Launch date (YY.MM),H1.67,H2.67,H1.68,H2.68
P012,13.7280,100.5850,Whizdom Essence Sukhumvit,MQDC,AF,2 Bedroom,180,126,12000000,65.0,,2.20,4.80,65.06,2.00,2.40,2.20,2.00
P013,13.7710,100.4920,Supalai Elite Phayathai,Supalai,AD,Condo,310,264,4350000,30.5,,3.40,7.20,66.01,3.00,3.60,3.40,3.20
P014,13.7960,100.5180,Centric Ratchada-Huaikwang,SC Asset,AB,Condo,480,394,3400000,27.0,,4.30,9.40,66.03,3.80,4.60,4.30,4.00
P015,13.7400,100.5220,The Room Sathorn,Land & Houses,AG,Condo,280,238,8500000,42.0,,3.20,6.80,65.01,2.90,3.40,3.20,3.00
P015,13.7400,100.5220,The Room Sathorn,Land & Houses,AG,2 Bedroom,120,90,14500000,72.0,,1.80,3.90,65.01,1.60,1.90,1.80,1.70
P016,13.7150,100.5120,Nue Noble Sathon-Yen Akat,Noble Development,AG,Condo,330,281,7200000,35.0,,3.80,8.10,65.09,3.40,4.00,3.80,3.50
P017,13.8340,100.5680,The Origin Ram 209,Origin Property,AH,Condo,780,663,1950000,22.5,,6.20,13.50,66.01,5.60,6.60,6.20,5.80
P017,13.8340,100.5680,The Origin Ram 209,Origin Property,AH,1 Bedroom,320,275,2600000,30.0,,4.10,8.80,66.01,3.70,4.30,4.10,3.80
P018,13.8510,100.5290,Modiz Interchange,Asset Wise,AH,Condo,520,416,2150000,24.0,,4.80,10.20,66.06,4.30,5.10,4.80,4.50
P019,13.7560,100.6120,Ideo Sukhumvit-Rama 4,Ananda,AF,Condo,440,352,5800000,28.5,,4.40,9.30,65.12,3.90,4.70,4.40,4.10
P020,13.6850,100.5380,Aspire Erawan Prime,AP Thai,AJ,Condo,620,496,2100000,25.0,,5.50,11.80,66.03,4.90,5.80,5.50,5.20
P021,13.6950,100.5010,The Privacy Thapra,Pruksa Real Estate,AK,Townhouse,185,157,3200000,,20.0,2.80,5.90,66.06,2.50,3.00,2.80,2.60
P021,13.6950,100.5010,The Privacy Thapra,Pruksa Real Estate,AK,Townhouse,140,119,3800000,,24.0,2.10,4.50,66.06,1.90,2.20,2.10,1.90
P022,13.8950,100.5850,Baan Pruksa Rangsit,Pruksa Real Estate,AL,Townhouse,250,213,2200000,,18.0,3.40,7.20,66.01,3.00,3.60,3.40,3.20
P022,13.8950,100.5850,Baan Pruksa Rangsit,Pruksa Real Estate,AL,Single Detached House,80,60,5500000,,60.0,1.50,3.10,66.01,1.30,1.60,1.50,1.40
P023,13.9120,100.5390,Pleno Rangsit-Lam Luk Ka,AP Thai,AL,Townhouse,320,272,2650000,,20.0,3.80,8.10,65.09,3.40,4.00,3.80,3.50
P024,13.6720,100.4780,Pruksa Ville Bangbon,Pruksa Real Estate,AM,Townhouse,290,247,2400000,,22.0,3.10,6.60,66.03,2.80,3.30,3.10,2.90
P024,13.6720,100.4780,Pruksa Ville Bangbon,Pruksa Real Estate,AM,Twin House,110,83,3500000,,35.0,1.80,3.80,66.03,1.60,1.90,1.80,1.70
P025,13.6580,100.5150,Golden Town Bangna,Golden Land,AN,Townhouse,210,179,3100000,,21.0,2.60,5.50,66.06,2.30,2.80,2.60,2.40
P026,13.7180,100.4560,The Connect Phetkasem,LH Living,AP,Townhouse,340,279,2850000,,20.5,3.50,7.40,66.01,3.10,3.70,3.50,3.30
P027,13.6440,100.5430,Indy Bangna Km.7,Land & Houses,AN,Single Detached House,120,90,7800000,,55.0,1.90,4.10,65.06,1.70,2.00,1.90,1.80
P027,13.6440,100.5430,Indy Bangna Km.7,Land & Houses,AN,Twin House,85,64,5200000,,40.0,1.40,2.90,65.06,1.20,1.50,1.40,1.30
P028,13.7620,100.4380,IDEO Charan 70,Ananda,AP,Condo,380,304,2750000,25.0,,3.60,7.80,66.06,3.20,3.80,3.60,3.40
P029,13.7830,100.4650,Niche Mono Bang Phlat,SENA Development,AQ,Condo,290,232,3100000,27.5,,2.90,6.30,66.09,2.60,3.10,2.90,2.70
P030,13.6980,100.5620,Life Sukhumvit 62,AP Thai,AF,Condo,540,459,4200000,26.5,,5.20,11.10,65.12,4.70,5.50,5.20,4.90
P031,13.8680,100.4980,Centro Chaengwattana,SC Asset,AE,Townhouse,180,144,3450000,,23.0,2.40,5.10,66.06,2.10,2.50,2.40,2.20
P031,13.8680,100.4980,Centro Chaengwattana,SC Asset,AE,Single Detached House,65,46,6800000,,52.0,1.20,2.60,66.06,1.10,1.30,1.20,1.10
P032,13.7290,100.4890,Fuse Chan-Sathorn,Sansiri,AG,Condo,410,348,4600000,29.0,,4.00,8.60,66.01,3.60,4.20,4.00,3.70
P033,13.8780,100.6250,Pleno Suksawat,AP Thai,AR,Townhouse,260,221,2350000,,19.5,2.80,6.00,66.03,2.50,3.00,2.80,2.60
P034,13.6350,100.4980,Supalai Loft Praeksa,Supalai,AS,Condo,480,384,1850000,23.0,,4.60,9.80,66.06,4.10,4.90,4.60,4.30
P035,13.7760,100.6380,Aspire Ramkhamhaeng,AP Thai,AH,Condo,370,296,2650000,26.0,,3.50,7.50,66.09,3.10,3.70,3.50,3.30
P036,13.8150,100.4720,Sammakorn S9,Sammakorn,AQ,Single Detached House,95,67,8500000,,70.0,1.60,3.40,65.06,1.40,1.70,1.60,1.50
P036,13.8150,100.4720,Sammakorn S9,Sammakorn,AQ,Twin House,130,98,5800000,,42.0,2.00,4.20,65.06,1.80,2.10,2.00,1.90
P037,13.7020,100.4350,Baan Klang Muang Pinklao,AP Thai,AP,Townhouse,220,187,3300000,,22.5,2.50,5.30,66.01,2.20,2.70,2.50,2.30
P038,13.7340,100.6580,Lumpini Park Nawamin,LPN,AT,Condo,820,656,1750000,22.0,,6.40,13.80,66.03,5.80,6.80,6.40,6.00
P039,13.6890,100.6120,Notting Hill Sukhumvit 105,Origin Property,AU,Condo,340,272,2250000,24.5,,3.30,7.10,66.06,2.90,3.50,3.30,3.10
P040,13.7490,100.4150,The Parkland Phetkasem,Narai Property,AP,Condo,450,360,2350000,25.0,,4.10,8.80,66.09,3.70,4.30,4.10,3.80
P041,13.7930,100.6480,Supalai Veranda Ramkhamhaeng,Supalai,AH,Condo,310,249,2450000,27.0,,3.00,6.40,67.01,2.70,3.20,3.00,2.80
P042,13.6620,100.6350,Pleno Bangna-Wongwaen,AP Thai,AU,Townhouse,280,238,2550000,,20.0,3.10,6.60,66.06,2.80,3.30,3.10,2.90
